user_id,user_first_name,user_last_name,user_type,user_gender,user_email,user_password,user_enabled,user_phone_number
100,Emma,Smith,EMPLOYEE,FEMALE,emma_smith@gmail.com,$2b$12$KCK1IdDSKTap8pJI1Qf2M.dzyHjE4wdV93Wa3QCa8hTgD9Hvt9Qe6,1,77083508084
101,Olivia,Johnson,EMPLOYEE,FEMALE,olivia_johnson@gmail.com,$2b$12$KCK1IdDSKTap8pJI1Qf2M.dzyHjE4wdV93Wa3QCa8hTgD9Hvt9Qe6,1,77087548342
102,Noah,Williams,EMPLOYEE,MALE,noah_williams@gmail.com,$2b$12$KCK1IdDSKTap8pJI1Qf2M.dzyHjE4wdV93Wa3QCa8hTgD9Hvt9Qe6,1,77754842448
103,Liam,Brown,EMPLOYEE,MALE,liam_brown@gmail.com,$2b$12$KCK1IdDSKTap8pJI1Qf2M.dzyHjE4wdV93Wa3QCa8hTgD9Hvt9Qe6,1,77081837051
104,Sophia,Jones,EMPLOYEE,FEMALE,sophia_jones@gmail.com,$2b$12$KCK1IdDSKTap8pJI1Qf2M.dzyHjE4wdV93Wa3QCa8hTgD9Hvt9Qe6,1,77086756305
105,Mason,Miller,EMPLOYEE,MALE,mason_miller@gmail.com,$2b$12$KCK1IdDSKTap8pJI1Qf2M.dzyHjE4wdV93Wa3QCa8hTgD9Hvt9Qe6,1,77003193637
106,Ava,Davis,EMPLOYEE,FEMALE,ava_davis@gmail.com,$2b$12$KCK1IdDSKTap8pJI1Qf2M.dzyHjE4wdV93Wa3QCa8hTgD9Hvt9Qe6,1,77085189812
107,Jacob,Garcia,EMPLOYEE,MALE,jacob_garcia@gmail.com,$2b$12$KCK1IdDSKTap8pJI1Qf2M.dzyHjE4wdV93Wa3QCa8hTgD9Hvt9Qe6,1,77017661186
108,William,Rodriguez,EMPLOYEE,MALE,william_rodriguez@gmail.com,$2b$12$KCK1IdDSKTap8pJI1Qf2M.dzyHjE4wdV93Wa3QCa8hTgD9Hvt9Qe6,1,77755396770
109,Isabella,Wilson,EMPLOYEE,FEMALE,isabella_wilson@gmail.com,$2b$12$KCK1IdDSKTap8pJI1Qf2M.dzyHjE4wdV93Wa3QCa8hTgD9Hvt9Qe6,1,77083448196
110,Ethan,Martinez,EMPLOYEE,MALE,ethan_martinez@gmail.com,$2b$12$KCK1IdDSKTap8pJI1Qf2M.dzyHjE4wdV93Wa3QCa8hTgD9Hvt9Qe6,1,77757700325
111,Mia,Anderson,EMPLOYEE,FEMALE,mia_anderson@gmail.com,$2b$12$KCK1IdDSKTap8pJI1Qf2M.dzyHjE4wdV93Wa3QCa8hTgD9Hvt9Qe6,1,77012223470
112,James,Taylor,EMPLOYEE,MALE,james_taylor@gmail.com,$2b$12$KCK1IdDSKTap8pJI1Qf2M.dzyHjE4wdV93Wa3QCa8hTgD9Hvt9Qe6,1,77012059979
113,Alexander,Thomas,EMPLOYEE,MALE,alexander_thomas@gmail.com,$2b$12$KCK1IdDSKTap8pJI1Qf2M.dzyHjE4wdV93Wa3QCa8hTgD9Hvt9Qe6,1,77002840097
